================================================================================
Missing Person Detection Log
Session Start: 2026-04-15 13:42:49
================================================================================
ALERT | CAM-1 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:42:54 | SCORE=0.778 | COSINE=0.814 | EUCLIDEAN=0.610 | SNAPSHOT=CAM-1_20260415_134254_775308.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:43:02 | SCORE=0.785 | COSINE=0.821 | EUCLIDEAN=0.598 | SNAPSHOT=CAM-1_20260415_134302_079090.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:43:07 | SCORE=0.774 | COSINE=0.810 | EUCLIDEAN=0.617 | SNAPSHOT=CAM-1_20260415_134307_990784.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:43:14 | SCORE=0.766 | COSINE=0.801 | EUCLIDEAN=0.630 | SNAPSHOT=CAM-1_20260415_134314_546836.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:01 | EVENT_TIME=2026-04-15 13:43:20 | SCORE=0.807 | COSINE=0.844 | EUCLIDEAN=0.558 | SNAPSHOT=CAM-1_20260415_134320_892106.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:01 | EVENT_TIME=2026-04-15 13:43:29 | SCORE=0.797 | COSINE=0.834 | EUCLIDEAN=0.576 | SNAPSHOT=CAM-1_20260415_134329_732525.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:02 | EVENT_TIME=2026-04-15 13:43:37 | SCORE=0.819 | COSINE=0.857 | EUCLIDEAN=0.536 | SNAPSHOT=CAM-1_20260415_134337_030664.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:02 | EVENT_TIME=2026-04-15 13:43:48 | SCORE=0.811 | COSINE=0.848 | EUCLIDEAN=0.551 | SNAPSHOT=CAM-1_20260415_134348_986405.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:44:02 | SCORE=0.808 | COSINE=0.845 | EUCLIDEAN=0.557 | SNAPSHOT=CAM-1_20260415_134402_093850.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:44:07 | SCORE=0.837 | COSINE=0.875 | EUCLIDEAN=0.500 | SNAPSHOT=CAM-1_20260415_134407_590165.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:03 | EVENT_TIME=2026-04-15 13:44:14 | SCORE=0.792 | COSINE=0.828 | EUCLIDEAN=0.587 | SNAPSHOT=CAM-1_20260415_134414_162166.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:04 | EVENT_TIME=2026-04-15 13:44:19 | SCORE=0.798 | COSINE=0.835 | EUCLIDEAN=0.575 | SNAPSHOT=CAM-1_20260415_134419_565066.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:04 | EVENT_TIME=2026-04-15 13:44:26 | SCORE=0.825 | COSINE=0.862 | EUCLIDEAN=0.525 | SNAPSHOT=CAM-1_20260415_134426_001340.jpg
ALERT | CAM-1 | VIDEO_TIME=00:00:04 | EVENT_TIME=2026-04-15 13:44:31 | SCORE=0.812 | COSINE=0.850 | EUCLIDEAN=0.549 | SNAPSHOT=CAM-1_20260415_134431_709048.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:45:07 | SCORE=0.967 | COSINE=0.987 | EUCLIDEAN=0.160 | SNAPSHOT=CAM-2_20260415_134507_663552.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:45:13 | SCORE=0.962 | COSINE=0.984 | EUCLIDEAN=0.180 | SNAPSHOT=CAM-2_20260415_134513_516793.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:45:19 | SCORE=0.958 | COSINE=0.982 | EUCLIDEAN=0.192 | SNAPSHOT=CAM-2_20260415_134519_369537.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:45:25 | SCORE=0.964 | COSINE=0.986 | EUCLIDEAN=0.170 | SNAPSHOT=CAM-2_20260415_134525_029472.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:45:30 | SCORE=0.963 | COSINE=0.985 | EUCLIDEAN=0.174 | SNAPSHOT=CAM-2_20260415_134530_615020.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:45:36 | SCORE=0.968 | COSINE=0.988 | EUCLIDEAN=0.156 | SNAPSHOT=CAM-2_20260415_134536_092094.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:00 | EVENT_TIME=2026-04-15 13:45:42 | SCORE=0.974 | COSINE=0.991 | EUCLIDEAN=0.134 | SNAPSHOT=CAM-2_20260415_134542_280464.jpg
ALERT | CAM-2 | VIDEO_TIME=00:00:01 | EVENT_TIME=2026-04-15 13:45:47 | SCORE=0.975 | COSINE=0.992 | EUCLIDEAN=0.130 | SNAPSHOT=CAM-2_20260415_134547_410630.jpg
